	Sample_1	Sample_2
CEP44	1.9243151	1.801206639
CEP55	2.541178716	2.750680941
CEP57	2.484655371	2.593317136
CEP57L1	0.995540366	0.896682866
CEP63	0.811509288	0.661505182
CEP68	2.250235207	2.081481234
CEP70	2.235340301	2.379257848
CEP72	1.214738123	1.279800104
CEP76	1.453893362	1.271841189
CEP78	1.248986101	1.924710032
CEP83	1.350723654	1.823301776
CEP83-DT	0.4458569	0.21381903
CEP85	1.178520004	2.02605201
CEP85L	0.988100545	1.176709908
CEP89	2.378316013	1.971896632
CEP95	2.480401984	2.367447905
CEP97	1.472416778	1.679618408
CEPT1	2.285361793	2.819152404
CERCAM	4.252075237	3.373281661
CERK	3.263676396	3.324847542
CERKL	1.562218732	2.37095959
CERNA1	0.954307332	0.242711342
CERNA2	0	1.979062104
CEROX1	1.359044323	0.235205515
CERS1	0.230416194	0
CERS2	4.366746139	4.412388353
CERS3	1.383807194	0.230730533
CERS4	2.913319174	1.905342789
CERS5	3.097639874	2.548214303
CERS6	2.591884655	3.499750585
CERS6-AS1	2.850639898	3.444456731
CERT1	1.960166432	2.63863414
CES1	5.186050928	3.293564847
CES2	3.361114099	3.220132857
CES3	0.430245915	1.893607569
CES4A	1.243188132	0.365874213
CETN2	4.506062153	3.308344068
CETN3	2.387206037	1.908758496
CETP	0.80364544	1.285753382
CFAP126	2.372928882	2.625029999
CFAP157	2.17770577	1.88669847
CFAP20	3.218397801	3.409107783
CFAP20DC	0.633875463	0.145357536
CFAP221	0.50944728	0
CFAP251	0.513252899	0.215413109
CFAP298	2.156338456	0.885288854
CFAP300	1.27574043	0.246408821
CFAP36	3.266083133	2.989047645
CFAP410	2.949718249	2.609295293
CFAP43	0.193473388	0.020376329
CFAP44	2.811915842	0.849359565
CFAP44-AS1	0.608754698	0.105385801
CFAP45	0.35392885	0.516242686
CFAP47	0	0
CFAP53	1.322347057	0.500047439
CFAP54	0.150117166	0.033786906
CFAP57	1.114518735	0.147536036
CFAP69	0.90828118	0.062735393
CFAP70	0.924176752	0.480586791
CFAP73	3.829889616	3.456275047
CFAP74	0	0
CFAP91	0.331081386	0.117696432
CFAP92	1.326989287	0.891311682
CFAP97	2.654881389	2.730203978
CFD	4.187995369	5.650822443
CFDP1	3.24530561	2.746823866
CFH	3.67708639	4.055345127
CFHR3	0.032201956	0.067128284
CFI	1.363713221	0.249641176
CFL1	5.955661041	5.467532376
CFL2	4.176043978	2.014282388
CFLAR	2.447390522	3.106424743
CFLAR-AS1	1.334793124	2.180447312
CFTR	0.268935123	0.014769321
CGAS	1.852966701	2.495528303
CGB7	0.37354741	0
CGGBP1	3.715864514	3.548711306
CGN	1.59765001	2.104080018
CGNL1	2.072630227	0.521062061
CGREF1	2.304231634	1.634186863
CGRRF1	1.660663221	2.149448368
CH25H	2.20728357	1.239040885
CHAC1	3.075868562	1.857749826
CHAC2	1.719318146	1.708429248
CHAD	1.044202383	0.783374
CHADL	2.341827922	2.155897847
CHAF1A	2.564269863	2.578193123
CHAF1B	1.675977734	1.78439814
CHAMP1	2.005813111	2.429528054
CHASERR	3.135066094	2.739662765
CHCHD1	3.853725612	3.711110496
CHCHD10	5.888405564	5.551342179
CHCHD2	6.349035148	6.101451975
CHCHD2P6	0.809968074	0.843171556
CHCHD3	3.295596992	3.079902643
CHCHD4	2.609410285	2.763763152
CHCHD5	3.100956377	2.565144077
CHCHD6	2.499623695	2.823054026
CHCHD7	2.134212736	2.125241445
CHD1	2.164731602	2.621150539
CHD1L	0.17775293	0.215719452
CHD2	2.432730734	2.389203418
CHD3	3.981709473	3.591901257
CHD4	2.477706172	1.630699735
CHD6	2.273323809	2.034213846
CHD7	0.948277071	1.392420483
CHD8	1.875455183	2.052143954
CHD9	1.910454576	2.16407478
CHDH	1.976010038	1.07112237
CHEK1	1.650248121	2.173904233
CHEK2	2.201479816	2.089218619
CHERP	3.196139505	3.106675781
CHFR	2.037791271	2.066607342
CHGB	0.341917577	0
CHI3L1	1.662193802	5.918252291
CHI3L2	1.333195752	1.204321761
CHIC1	2.088620457	0.581528026
CHIC2	3.19501712	3.422085878
CHID1	3.623840059	3.398804426
CHIT1	0.069656206	4.32361021
CHKA	3.381479724	2.980408847
CHKB	0.36318126	0.573356902
CHKB-DT	0.472651565	0.99669291
CHL1	0.046595571	0.012570419
CHM	1.815823178	2.457759912
CHML	1.47076813	2.114338582
CHMP1A	3.57966219	3.559249997
CHMP1B	3.933482163	4.260775528
CHMP1B-AS1	4.508326014	4.871135151
CHMP1B2P	0.129742632	0
CHMP2A	4.695471678	4.321661761
CHMP2B	2.80515754	2.835765529
CHMP3	3.321472108	2.929815619
CHMP4B	5.464657432	5.333645314
CHMP4BP1	1.747990592	0
CHMP4C	2.478026764	3.171528739
CHMP5	4.187425575	4.40427175
CHMP6	4.058447296	3.722530091
CHMP7	3.459775716	3.053209156
CHN1	1.220201518	0.719859168
CHODL	3.40233941	0
CHORDC1	0.77978252	1.019789025
CHP1	3.627041399	4.056632428
CHP2	2.008378375	0
CHPF	5.198831497	4.309071948
CHPF2	4.08314447	3.974154964
CHPT1	3.030841484	3.680513557
CHRAC1	3.373637265	2.794356784
CHRD	2.413594951	0.924054308
CHRDL1	3.406840208	0
CHRDL2	3.913761356	0.44399034
CHRM3	0.044927399	0.560013927
CHRM3-AS2	0	0.386932426
CHRM4	1.636819443	2.418449118
CHRNA10	1.384336329	0.471248949
CHRNA3	0.136666554	0.170942508
CHRNA5	1.669736753	1.339531481
CHRNA7	0	0.067302436
CHRNB1	1.274013979	0.635428485
CHRNB4	0.330527026	0
CHRNE	2.612543	2.054897465
CHRNG	0.39172069	0.03335014
CHROMR	2.253675521	2.018543316
CHST1	1.483181909	1.373305544
CHST10	2.052566844	0.464888476
CHST11	1.424914954	3.635299677
CHST12	1.932932385	1.351651147
CHST13	0.458647524	2.250049566
CHST14	3.704305165	3.269587771
CHST15	1.753353284	3.48242757
CHST2	1.783213381	3.650643173
CHST3	2.946492271	0.938968958
CHST6	2.167063568	0.215314185
CHST7	2.698097556	2.54399137
CHST8	0.599869122	0
CHST9	0.04731507	0
CHSY1	2.812398704	3.079704174
CHSY3	0.705607283	1.002420429
CHTF18	2.825136373	1.924400405
CHTOP	3.795090623	3.557694324
CHUK	2.256008277	2.60852332
CHURC1	2.925848699	3.097039261
CIAO1	3.827368594	3.779003216
CIAO2A	3.211522115	4.264106312
CIAO2B	4.839210752	4.507917176
CIAO3	2.679368422	2.093021452
CIAPIN1	2.856779136	3.339243862
CIART	2.514089444	1.619374347
CIB1	5.259855283	5.130046412
CIB2	2.902892849	0.809144834
CIBAR1	2.544826389	2.113088618
CIC	3.29688619	3.024906821
CICP14	2.187337039	2.028909233
CIDEA	0.43132306	0.078559049
CIDEB	1.40998314	2.160845819
CIDECP1	2.477203447	1.741687925
CIITA	2.119530751	2.659863865
CILK1	2.552414125	2.451845746
CILP	1.027045783	0.145238396
CILP2	1.014891021	0.966430931
CINP	3.075760523	2.741146287
CIP2A	1.121210416	1.834185207
CIPC	2.551435619	2.552805392
CIR1	3.455402476	4.180131736
CIRBP	4.879093257	3.85003413
CIRBP-AS1	1.010950891	0.684011382
CISD1	3.702768119	2.546900844
CISD2	2.502910475	2.942076089
CISD3	3.55376415	3.100402102
CISH	1.467231087	1.974442796
CIT	0.571109306	0.619739058
CITED2	3.773828044	5.200817152
CITED4	5.150934606	2.874258317
CIZ1	3.35956995	3.040534833
CKAP2	2.626049369	3.215331552
CKAP2L	1.408060215	1.642722851
CKAP4	4.553780178	4.28082391
CKAP5	3.120456082	3.334439295
CKB	7.175653082	5.366469909
CKLF	1.112462772	1.518978912
CKM	1.79485654	0.565624239
CKMT1A	1.311458634	0.587245216
CKMT1B	1.743689793	0.51303965
CKMT2	1.792760244	0.053300889
CKMT2-AS1	1.491163734	0.444939189
CKS1B	2.909156654	3.140945681
CKS2	4.344601075	4.385099695
CLASP1	3.071341537	2.443984112
CLASP2	2.268149755	2.103529982
CLASRP	3.756796547	3.050215553
CLBA1	2.631197017	2.06786796
CLCA2	2.44299755	3.277752425
CLCA4	0.657751618	3.01750691
CLCA4-AS1	0.263583307	0.609661534
CLCC1	2.553265533	2.267927755
CLCF1	3.162658558	2.42594751
CLCN1	1.117585937	0.42821262
CLCN2	1.643369922	1.262513026
CLCN3	2.603067995	3.239729915
CLCN3P1	0.159978943	0.075916964
CLCN4	1.638816492	0.672193112
CLCN5	1.051589534	1.500980784
CLCN6	2.021774386	1.863756858
CLCN7	3.551861667	3.793891684
CLCNKA	0.714436234	0.227405503
CLCNKB	0.447298881	0
CLDN1	4.437913391	5.593817373
CLDN10	0.707976481	0.299811374
CLDN11	1.628945703	0.268582151
CLDN12	2.523723357	2.317638298
CLDN15	2.32772693	1.818787745
CLDN16	0.850158928	0.827785982
CLDN2	0	0
CLDN22	1.450854118	1.041914679
CLDN23	0.498094081	1.471493396
CLDN3	2.452481345	2.427801738
CLDN4	3.680527715	5.660027747
CLDN5	3.570262716	2.304205044
CLDN7	2.736766862	3.349338877
CLDN8	0.847211942	0
CLDN9	0.364953871	0.247125978
CLDND1	3.478015072	3.116998041
CLDND2	0.675503507	1.071398218
CLEC10A	2.141436477	2.804425324
CLEC11A	5.342342085	3.78221186
CLEC12A	0.082183128	2.302136713
CLEC14A	3.620594362	2.130313706
CLEC16A	1.829942552	1.935832205
CLEC17A	0	0.509599191
CLEC18A	0.044420681	0.069784131
CLEC18B	0.610218786	0.172088784
CLEC1A	1.427489166	0.950534352
CLEC20A	0.221877712	0.161850464
CLEC2B	3.908079413	4.461025085
CLEC2D	1.998205207	1.819436332
CLEC3B	3.906001257	0
CLEC4E	0.779207272	2.45424784
CLEC4F	0.581714139	0.349632739
CLEC5A	0.474929501	2.960476851
CLEC7A	1.119524418	3.462340359
CLGN	0.889124952	0.92431827
CLHC1	2.062449588	1.107470447
CLIC1	5.354719678	5.84528994
CLIC2	1.817356188	2.772649669
CLIC3	3.520778871	2.533860404
CLIC4	5.590745681	4.072781418
CLIC5	0.125461133	0.576558732
CLIC6	1.130569701	0.587565268
CLINT1	3.334412144	3.316381647
CLIP1	2.536112392	2.422811343
CLIP2	3.082716444	1.753322936
CLIP3	4.251673677	1.199392666
CLIP4	2.90363334	3.819497652
CLK1	4.414548422	3.595178289
CLK2	3.148480735	2.975631241
CLK3	2.276572869	1.948133921
CLK4	2.797405907	2.019624651
CLMAT3	3.402714249	2.613786716
CLMN	0.815801731	1.733958522
CLMP	3.608275848	1.844324261
CLN3	0.239013551	1.032808121
CLN5	1.435760006	1.646477921
CLN6	1.498450444	2.196842247
CLNK	0	0.344756561
CLNS1A	3.207320107	3.227575807
CLOCK	2.2110358	2.037277694
CLP1	1.764974282	2.391862059
CLPB	1.886906309	1.609296787
CLPP	3.631433213	3.652696538
CLPTM1	4.146462892	4.132732148
CLPTM1L	3.542617322	3.387636484
CLPX	2.821739462	3.165455926
CLSPN	1.231991707	1.282755128
CLSTN1	4.458458406	4.310764654
CLSTN2	1.272549719	0.403196522
CLSTN3	2.533951395	2.865113138
CLTA	4.82812471	4.918592048
CLTB	5.409357679	4.235886869
CLTC	3.978107374	4.549498853
CLTCL1	0.948354114	0.904869944
CLTRN	0.272188061	0
CLU	7.253632306	4.039206542
CLUAP1	2.024303225	1.366565825
CLUH	3.659770716	3.835136439
CLUHP3	1.699826459	1.666621582
CLUL1	1.096661468	0.325428421
CLVS1	2.261867896	2.145156719
CLYBL	1.138621522	0.992840754
CMAHP	2.450464233	1.06542905
CMAS	3.962108797	4.020056419
CMBL	3.200145626	2.138203859
CMC1	2.408254701	2.292933265
CMC2	1.203198783	1.034311387
CMIP	1.867228737	2.95436872
CMKLR1	1.411226195	3.208094235
CMPK1	4.686158579	4.531749178
CMPK2	1.899989891	3.711862986
CMSS1	1.876975387	1.585000413
CMTM1	0.761841423	1.596954175
CMTM2	0.395150169	0
CMTM3	3.82688131	3.873903431
CMTM4	2.149072234	1.691401909
CMTM6	4.507534135	4.721510645
CMTM7	3.239719716	4.017083303
CMTM8	3.192947943	1.61856554
CMTR1	3.212456626	3.128569269
CMTR2	0.508082095	1.17067307
CMYA5	1.495513425	0.687257751
CNBD2	0.735531084	0.586677118
CNBP	5.66101246	5.457402023
CNDP2	2.704979232	3.952006848
CNEP1R1	2.137269937	2.531930427
CNFN	2.08590848	1.075180719
CNGA1	0.110224263	0.747889833
CNGB1	0	0.200977849
CNGB3	0.19297963	0.024779693
CNIH1	3.658050187	3.650398063
CNIH2	1.407777775	0.193558652
CNIH3	0.980016513	1.662964121
CNIH4	3.079097789	3.140537438
CNKSR1	1.988316339	1.920943785
CNKSR3	0.892427755	0.339646564
CNN1	7.543385091	1.739195523
CNN2	5.225927917	4.574603009
CNN3	5.299429027	3.204911669
CNN3-DT	3.070560232	0.385375979
CNNM1	0.941173703	0
CNNM2	2.487254193	2.427502965
CNNM3	2.819924209	2.694293469
CNNM4	1.82129909	2.538328794
CNOT1	2.950054428	3.45632915
CNOT10	2.699329195	2.447706758
CNOT10-AS1	2.101906391	1.634461959
CNOT11	3.605937381	3.849880448
CNOT2	2.370418573	2.232644211
CNOT3	2.663726348	2.507742521
CNOT4	2.100777022	1.83798068
CNOT6	2.564045574	3.000085898
CNOT6L	2.245049057	2.739647079
CNOT7	2.688791326	2.88558103
CNOT8	3.007479851	3.61479852
CNOT9	2.986932354	2.933222232
CNP	3.794863028	3.354025245
CNPPD1	4.079343403	3.993827236
CNPY2	1.959671651	1.466004803
CNPY3	4.488810104	4.730039677
CNPY4	3.059220559	1.793314188
CNR1	0.558029816	0.502463183
CNRIP1	2.670105745	2.197783306
CNST	3.258389656	2.29011523
CNTD1	3.385714155	2.851202007
CNTFR	0.873711485	1.065993507
CNTLN	1.317739988	1.700916809
CNTN1	3.354144834	0.111959348
CNTN3	2.156675198	0
CNTN4	0.523442596	0.593731553
CNTNAP1	4.109308673	1.558835626
CNTNAP3	1.649319199	0
CNTNAP3B	0.9648543	0.064979826
CNTNAP3P2	0.360047614	0
CNTRL	1.637489027	1.977734111
CNTROB	2.674582094	2.5796689
COA1	2.030561359	1.882382425
COA3	3.971545225	3.570921271
COA4	3.935445544	3.591426397
COA5	3.38905655	2.626706375
COA6	2.764490853	2.701389103
COA6-AS1	2.941595731	2.799461033
COA7	2.688933317	2.415856023
COA8	2.391502187	1.696561225
COASY	3.692620772	3.756250851
COBL	0.569698302	0.134817899
COBLL1	1.976699184	1.478113534
COCH	1.240148354	1.861158163
COG1	3.305149407	3.150193004
COG2	1.976416803	2.048607668
COG3	2.762846706	2.499706644
COG4	3.628663958	3.088616032
COG5	1.515965206	2.344193475
COG6	2.215055132	2.116010453
COG7	3.086085701	2.750462518
COG8	2.695873902	2.496131081
COIL	2.59864832	2.755182909
COL10A1	0.411926308	0.527809521
COL11A1	0.207081728	0.511110102
COL11A2	0.722911572	0.095709021
COL12A1	2.980554495	2.943643236
COL13A1	1.334698196	0.297904837
COL14A1	4.773258214	1.790722644
COL15A1	4.659757543	2.841546984
COL16A1	5.278319327	1.379660731
COL17A1	3.506233179	2.400844368
COL18A1	5.165693253	3.303150505
COL1A1	7.011307125	5.995051321
COL1A2	6.535687727	5.256873114
COL21A1	2.464106323	0.120807995
COL22A1	0.249729761	0.398113152
COL23A1	1.071384187	0.317212328
COL24A1	0.083830949	0.233354354
COL26A1	0	0.251705046
COL27A1	2.85600521	1.760335471
COL28A1	0.13717438	0.164031375
COL2A1	0.378774151	0.163508941
COL3A1	7.251918434	5.408539968
COL4A1	4.94102151	3.698278404
COL4A2	5.539642502	3.301186415
COL4A2-AS1	6.685867355	4.171729151
COL4A2-AS2	3.23720875	2.739653111
COL4A3	1.477697127	0.09197511
COL4A4	1.907103098	0.192893425
COL4A5	3.356856779	2.776675823
COL4A6	2.402479876	2.54392658
COL5A1	4.503029249	3.513167593
COL5A2	4.327851613	3.615178055
COL5A3	1.824743343	1.383226885
COL6A1	6.425104734	5.155923771
COL6A2	7.260328566	5.541605065
COL6A3	4.27079257	3.458193046
COL6A4P1	0.059287281	0.396061158
COL6A4P2	0.193098768	0
COL7A1	4.189761124	3.135072342
COL8A1	2.553937204	1.891453599
COL8A2	4.071450063	2.929090217
COL9A1	0.523852836	0.396713178
COL9A2	3.276165604	2.032480097
COL9A3	1.598640753	2.638107698
COLCA1	1.424911579	1.82737071
COLEC10	0.274139895	0.189886737
COLEC11	1.592357259	0.193093998
COLEC12	1.881623772	3.81817191
COLGALT1	4.296505341	4.945421375
COLGALT2	0.429127833	0.321363398
COLQ	1.402309116	1.297029509
COMMD1	3.323530703	2.555185039
COMMD10	3.069225155	2.65477483
COMMD2	2.36623759	2.619041699
COMMD3	2.57663946	2.044622088
COMMD4	3.339221029	2.708987689
COMMD5	3.313592648	3.106811214
COMMD6	3.65884791	3.345437599
COMMD7	3.733494515	3.096105475
COMMD8	2.915093767	3.685745178
COMMD9	2.260557523	2.854108764
COMP	5.050175865	2.587410276
COMT	3.984266725	3.721121893
COMTD1	3.846398808	3.569550352
COP1	2.938840052	3.495879347
COPA	4.064638292	4.174920766
COPB1	3.774796857	3.945300755
COPB2	2.876076042	2.949825401
COPE	4.571071611	4.054378708
COPG1	4.348422893	4.256564598
COPG2	3.178500815	2.971087195
COPG2IT1	1.482538287	0.122481958
COPRS	4.668803941	3.261986719
COPS2	3.17195895	3.132873633
COPS3	3.644256891	3.456636297
COPS4	3.147998891	2.999819397
COPS5	2.517767627	2.337558703
COPS6	4.600159108	3.771020168
COPS7A	4.388181006	3.960082974
COPS7B	2.829130902	2.522642489
COPS8	3.693590267	3.096582415
COPS9	3.864664454	3.073803272
COPZ1	3.90935564	4.182260371
COPZ2	4.642736882	2.22403437
COQ10A	2.215323109	1.825476619
COQ10B	3.434640909	3.241177522
COQ2	1.662570905	2.997599365
COQ3	2.560437842	2.182251449
COQ4	3.358229405	3.076566583
COQ5	2.912125897	3.012639606
COQ6	2.553065083	2.253189
COQ7	2.777735167	1.968802346
COQ7-DT	2.036724789	2.088256504
COQ8A	0.111340176	0.31831788
COQ8B	2.26975452	2.104713222
COQ9	3.364805955	3.004695439
CORIN	2.392485761	0.174511516
CORO1A	3.064567386	3.809072701
CORO1A-AS1	2.243387214	2.966426288
CORO1B	4.383694439	4.168940166
CORO1C	4.412860943	4.434145429
CORO2A	1.671388049	2.411282573
CORO2B	1.474246893	0.343132686
CORO6	3.254728274	0.187250938
CORO7	0.174209243	0.582600902
COSMOC	2.318359513	1.634970193
COTL1	3.713374385	4.55817704
COX10	1.837992461	1.99466048
COX11	3.029691079	2.606977554
COX14	4.086139151	3.501880347
COX15	2.593784817	2.540546463
COX16	1.864951376	1.515042277
COX17	3.78039605	3.128031492
COX18	2.003718168	1.990487188
COX19	1.802860451	1.423151698
COX20	3.921221168	3.313379628
COX4I1	4.847685293	4.888617422
COX4I2	2.234045019	0.199764802
COX5A	4.832406143	4.920718646
COX5B	5.549818739	5.153936199
COX6A1	4.341401712	3.63199792
COX6A1P2	2.049111646	2.639027503
COX6B1	5.516746778	5.039786571
COX6B2	1.509314293	0.076526002
COX6C	4.633360263	4.01128571
COX7A1	5.095528031	0.225088802
COX7A2	4.296023214	4.153388652
COX7A2L	3.480368552	3.174218158
COX7B	3.966773893	3.893246409
COX7C	5.240398619	4.875547716
COX8A	5.606793742	5.310873715
CP	2.764264937	4.693222838
CPA3	1.668170258	0.966999696
CPA4	2.169156301	0.139323577
CPAMD8	1.510475934	0.122737147
CPB2-AS1	0.203386544	1.935505929
CPD	2.385534051	3.340461493
CPE	6.08482497	1.537279025
CPEB2	2.156862015	2.283539723
CPEB3	1.152439718	1.340425238
CPEB4	2.559017532	2.530328137
CPED1	3.384847656	1.130968082
CPHL1P	0	0.172279654
CPLANE1	1.183085189	1.031431959
CPLANE2	2.430574046	1.579643622
CPLX1	2.573392584	1.987520203
CPM	1.815602653	4.114006189
CPNE1	4.129434389	3.671060523
CPNE2	2.43671798	2.710287081
CPNE3	3.307929153	3.713187372
CPNE4	0.231399203	0.066769603
CPNE5	1.348270784	0.666929174
CPNE7	2.319015276	1.851515142
CPNE8	2.092908248	2.131227927
CPOX	2.787400985	2.914015301
CPPED1	2.43767151	2.928171458
CPQ	4.265619281	3.387084885
CPS1	0.977558335	1.374649913
CPSF1	4.175314734	3.696686943
CPSF2	2.374598932	2.387053447
CPSF3	3.17968514	2.960113319
CPSF4	2.61918867	2.617270393
CPSF4L	2.384728012	1.844442317
CPSF6	3.017287553	3.058098112
CPSF7	3.611988787	3.330705892
CPT1A	3.428723776	3.13719875
CPT1B	0.342123919	0.307940405
CPT1C	1.948240348	0.722462894
CPT2	2.294039166	2.392510595
CPTP	3.60705818	3.541603693
CPVL	1.751845167	4.58337259
CPXM1	2.008994847	2.924191472
CPXM2	5.694236425	0.649131219
CPZ	0.149985057	0.082343751
CR1	0.163234837	2.677107095
CR2	0.228657294	0
CRABP1	1.806526406	0
CRABP2	4.016658251	5.966384166
CRACD	1.161543238	1.308937484
CRACDL	2.107982272	2.007575867
CRACR2A	0.565685089	0.992100082
CRACR2B	3.898544804	3.804005515
CRADD	1.931903359	1.887723467
CRAMP1	1.898782066	1.48716591
CRAT	3.213692174	2.541075365
CRB2	1.595633185	0.940414533
CRB3	1.96020031	3.077758226
CRBN	2.694118425	2.407174906
CRCP	3.308821583	2.724539908
CRCT1	0	1.183651753
CREB1	2.129856105	2.225132182
CREB3	4.668155484	4.126811897
CREB3L1	4.553550522	1.558261354
CREB3L2	4.000837998	2.800491332
CREB3L4	2.401776923	1.84881072
CREB5	1.051625574	0.877835075
CREBBP	2.458247818	2.619536819
CREBL2	3.656448747	4.099186285
CREBRF	2.027070559	2.272939575
CREBZF	3.153819629	3.105068719
CREG1	4.845804444	5.999725516
CREG2	0.582312002	0.537950661
CRELD1	1.099125784	0.696022162
CRELD2	3.603830588	2.971776543
CREM	2.29319271	2.502519165
CRH	0	0
CRHBP	0.856980528	1.070900818
CRHR2	0.527702591	0
CRIM1	3.67036022	2.747879757
CRIP1	1.210996687	0.837078222
CRIP2	5.337420684	3.09382463
CRIPT	1.913119895	1.885824708
CRISP3	0.315562779	0
CRISPLD1	2.077314833	1.114111714
CRISPLD2	3.310943157	1.766292648
CRK	1.373935455	1.96731682
CRKL	3.727260198	3.707812446
CRLF1	2.519366814	2.089357341
CRLF3	2.311421722	2.686955221
CRLS1	1.836471088	1.996992417
CRMP1	2.424428186	0.119036571
CRNDE	1.165977913	1.312522818
CRNKL1	2.533908197	2.792427465
CROCC	2.938960097	2.089861296
CROCCP2	2.740953281	3.006169358
CROCCP3	1.293501829	1.052151822
CROT	3.601415646	3.077348903
CRPPA	0.529396322	0.676290717
CRTAC1	0.847758579	0.377049247
CRTAM	0.452708291	1.353585934
CRTAP	4.800061852	4.218035955
CRTC1	2.635866127	2.273057727
CRTC2	3.648991037	3.507400776
CRTC3	3.249578021	2.238981159
CRTC3-AS1	1.962890012	1.833457756
CRY1	2.129038157	1.530237859
CRY2	3.064420642	2.414826246
CRYAB	5.143062731	1.241541146
CRYBB2P1	2.262069676	1.365950433
CRYBB3	0.596345443	0
CRYBG1	2.389228408	2.545281031
CRYBG2	0.881985939	1.590184378
CRYBG3	2.071260235	2.276687059
CRYGS	1.861026989	0.854946974
CRYL1	2.518366775	3.2106022
CRYM	2.892467178	0.401489388
CRYZ	3.169806184	3.173293546
CRYZL1	2.259520507	2.156331458
CRYZL2P	1.92907534	1.497427483
CS	3.601741415	3.814872075
CSAD	3.589760212	2.207317073
CSAG3	0.827497654	3.690492117
CSDC2	3.67027807	1.933134628
CSDE1	5.609078177	5.342275557
CSE1L	3.890294329	4.263670155
CSF1	4.095135129	3.56023873
CSF1R	2.456695917	4.680563911
CSF2RB	1.208178693	3.13404135
CSF3R	1.441254714	3.249604941
CSGALNACT1	3.094001759	1.171130947
CSGALNACT2	3.654028344	4.024753285
CSGALNACT2-DT	1.545748328	1.084510603
CSK	3.569776868	4.215185862
CSKMT	1.606265444	1.20063734
CSMD1	0.057929197	0
CSMD2	0.081285479	0.238616353
CSNK1A1	2.811901258	3.351667158
CSNK1D	3.894995274	3.814669958
CSNK1E	3.53169073	2.861336601
CSNK1G1	1.612644624	1.889151535
CSNK1G2	4.218057831	3.920250874
CSNK1G3	2.431396858	2.755789514
CSNK2A1	1.998931501	2.27607563
CSNK2A2	2.569299661	2.645442941
CSNK2B	0.071040747	0.038308075
CSPG4	3.967946109	2.685699605
CSPG4P10	0.382703774	0.656157888
CSPG4P12	0.27414511	0.121055455
CSPG5	0.175288676	0.364891422
CSPP1	0.642535142	0.731103081
CSRNP1	4.581956578	3.728640425
CSRNP2	3.056997611	2.537900969
CSRNP3	0.802840723	0.090008029
CSRP1	6.209174272	3.407971049
CSRP2	2.565438875	2.222391948
CSRP3-AS1	0.239208693	2.064364988
CST1	3.578532498	4.040195388
CST3	6.618676964	6.449388986
CST4	0.170734545	0
CST6	4.146070786	1.321390508
CST7	1.892233506	3.598102949
CSTA	3.447470214	3.536712731
CSTB	4.572133214	6.424656694
CSTF1	2.482260898	2.649547206
CSTF2	2.522295561	2.287362169
CSTF2T	2.686018791	2.77312477
CSTF3	2.923819531	2.787581047
CT75	0.282117589	0.109080627
CTAGE7P	0.336976415	0
CTBP1	4.31112249	3.669176509
CTBP1-AS	4.291216919	3.607089242
CTBP1-DT	2.098092059	1.969451975
CTBP2	3.219456729	2.806219623
CTBS	1.897790803	2.560844278
CTC1	2.028429806	2.275957441
CTCF	2.443590651	2.414813163
CTDNEP1	3.920170917	3.84331186
CTDP1	2.413464725	2.589209012
CTDSP1	4.530286376	4.187501101
CTDSP2	4.471480051	4.07484863
CTDSPL	3.644360418	2.680632044
CTDSPL2	2.07247696	2.254532389
CTF1	3.718563162	2.452519461
CTH	0.379889676	0.398929093
CTHRC1	4.461130014	3.901756546
CTIF	1.928156951	1.312670243
CTLA4	1.167980501	2.430860859
CTNNA1	4.359780603	4.404255732
CTNNAL1	3.065431057	2.939103234
CTNNB1	3.881436701	4.177574174
CTNNBIP1	3.252264722	2.891048589
CTNNBL1	3.351054067	2.997907282
CTNND1	1.458628035	0.907490488
CTNND2	0	0
CTNS	3.250194454	2.791395119
CTPS1	2.554597842	1.903729604
CTPS2	2.370850057	2.254616476
CTR9	2.878991631	2.985278914
CTRL	1.984667232	1.651913573
CTSA	4.282801488	5.037719723
CTSB	4.720654677	7.164569092
CTSC	2.354638204	3.689130873
CTSD	5.074579543	7.331349986
CTSE	1.319184605	1.572912427
CTSF	4.371228387	2.792288732
CTSG	2.396943091	0.3594442
CTSH	2.726682867	4.180335272
CTSK	3.757672198	4.60496459
CTSL	3.860028238	5.983841408
CTSO	0.865171233	1.742899636
CTSS	2.418017677	5.896408114
CTSV	0.294517292	0.381326044
CTSW	1.443984144	2.805585612
CTSZ	3.381040322	5.475438013
CTTN	3.559740177	3.15612837
CTTNBP2	1.23580575	0.021004188
CTTNBP2NL	2.102779301	2.650778219
CTU1	3.811276063	3.122754409
CTU2	2.922041872	2.30139826
CTXN1	3.058294267	3.581259013
CTXND1	0.368151523	0.042025168
CUBN	0.282095968	0.228335389
CUEDC1	3.498568482	2.373805215
CUEDC2	4.466710715	4.244198119
CUL1	4.058601788	3.804289631
CUL2	2.876528534	3.049347861
CUL3	2.545116233	2.657188343
CUL4A	3.399506127	3.39823397
CUL4B	1.865611939	1.619557982
CUL5	2.483781178	2.903907077
CUL7	2.768030525	2.546903535
CUL9	2.363227894	2.054510068
CUTA	4.793088937	4.511397186
CUTALP	1.006964832	1.948799642
CUTC	3.084411523	2.69921724
CUX1	2.561461056	2.609959963
CWC15	3.535314259	3.339868145
CWC22	3.001339001	2.890405567
CWC25	1.919574589	1.930529634
CWC27	2.672036026	2.532871831
